1/5	金币	100
1/300	金币
1/45	金创药(中量)
1/75	太阳水
1/150	八荒
1/150	海魂
1/150	半月
1/150	凌风
1/420	破魂
1/420	斩马刀
1/420	偃月
1/420	降魔
1/1680	凝霜
1/2520	修罗
1/2520	骷髅头盔
1/1680	道士头盔
1/840	重盔甲(男)
1/840	重盔甲(女)
1/840	魔法长袍(男)
1/840	魔法长袍(女)
1/840	灵魂战衣(男)
1/840	灵魂战衣(女)
1/150	魔鬼项链
1/150	琥珀项链
1/150	凤凰明珠
1/150	灯笼项链
1/420	白色虎齿项链
1/420	白金项链
1/840	蓝翡翠项链
1/3360	放大镜
1/1680	竹笛
1/420	黑檀手镯
1/420	道士手镯
1/150	坚固手套
1/840	金手镯
1/2520	死神手套
1/150	蓝色水晶戒指
1/420	黑色水晶戒指
1/420	蛇眼戒指
1/420	珍珠戒指
1/420	生铁戒指
1/840	金戒指
1/840	魅力戒指
1/840	道德戒指
1/420	骷髅戒指
1/3360	珊瑚戒指
1/1680	降妖除魔戒指
