[2026-03-23 00:03:23:232] Failure: D:\MirServer\Mir200\map\600.map could not be loaded.
[2026-03-23 00:03:23:628] >>>>>RegenMonsterByName ThreadError :[城门]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[左城墙]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[中城墙]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[右城墙]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[守卫]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[守卫]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[守卫]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:23:629] >>>>>RegenMonsterByName ThreadError :[守卫]-0[3-20940] 当前Thread:13664
[2026-03-23 00:03:24:708] [Exception]TIdHttpServerThread.Execute Error]

[2026-03-23 00:08:03:608] >>>>>RegenMonsterByName ThreadError :[城门]-0[3-20520] 当前Thread:14772
[2026-03-23 00:08:03:608] >>>>>RegenMonsterByName ThreadError :[左城墙]-0[3-20520] 当前Thread:14772
[2026-03-23 00:08:03:608] >>>>>RegenMonsterByName ThreadError :[中城墙]-0[3-20520] 当前Thread:14772
[2026-03-23 00:08:03:608] >>>>>RegenMonsterByName ThreadError :[右城墙]-0[3-20520] 当前Thread:14772
[2026-03-23 00:08:03:608] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20520] 当前Thread:14772
[2026-03-23 00:08:03:608] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20520] 当前Thread:14772
[2026-03-23 00:08:03:608] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20520] 当前Thread:14772
[2026-03-23 00:08:03:608] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20520] 当前Thread:14772
[2026-03-23 00:08:03:608] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20520] 当前Thread:14772
[2026-03-23 00:08:03:608] >>>>>RegenMonsterByName ThreadError :[弓箭手]-0[3-20520] 当前Thread:14772
