[2026-04-06 13:02:47:812] [脚本错误] 变量浠撳簱寮�鍚?..\QuestDiary\绯荤粺鍔熻兘\浠撳簱寮�鍚?txt不存在，变量类型:HUMAN 脚本命令:LOADVAR NPC名称:QManage 地图:0(0:0) 参数1:HUMAN 参数2:浠撳簱寮�鍚?..\QuestDiary\绯荤粺鍔熻兘\浠撳簱寮�鍚?txt 参数3: 参数4: 参数5: 参数6:
[2026-04-06 13:02:47:812] [脚本参数不正确] Cmd:CHECKVAR NPC名称:QManage 地图:0 座标:0:0 参数1:HUMAN 参数2:浠撳簱寮�鍚?= 参数3:1 参数4: 参数5:

[2026-04-06 14:53:15:501] 脚本错误2: CHECKITEM 火球术 1 第:138 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:15:501] 脚本错误2: CHECKITEM 治愈术 1 第:144 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:15:501] 脚本错误2: CHECKITEM 基本剑术 1 第:149 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:15:501] 脚本错误2: CHECKITEM 抗拒火环 1 第:154 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:15:501] 脚本错误2: CHECKITEM 施毒术 1 第:159 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:15:501] 脚本错误2: CHECKITEM 木剑 1 第:165 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:15:501] 脚本错误2: CHECKITEM 匕首 1 第:170 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:15:501] 脚本错误2: CHECKITEM 青铜剑 1 第:175 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt

[2026-04-06 14:53:41:856] 脚本错误2: CHECKITEM 火球术 1 第:138 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:41:856] 脚本错误2: CHECKITEM 治愈术 1 第:144 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:41:856] 脚本错误2: CHECKITEM 基本剑术 1 第:149 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:41:856] 脚本错误2: CHECKITEM 抗拒火环 1 第:154 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:41:856] 脚本错误2: CHECKITEM 施毒术 1 第:159 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:41:856] 脚本错误2: CHECKITEM 木剑 1 第:165 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:41:856] 脚本错误2: CHECKITEM 匕首 1 第:170 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt
[2026-04-06 14:53:41:856] 脚本错误2: CHECKITEM 青铜剑 1 第:175 行: D:\MirServer\Mir200\Envir\Market_Def\QFunction-0.txt

[2026-04-06 15:43:09:774] 脚本错误, 加载失败: QuestDiary\自动回收\执行回收.txt  

[2026-04-06 15:48:25:875] 脚本错误, 加载失败: \自动回收\\执行回收.txt  

[2026-04-06 15:50:07:869] 脚本错误, 加载失败: \自动回收\\执行回收.txt  

[2026-04-06 15:52:03:872] 脚本错误, 加载失败: QuestDiary\自动回收\执行回收.txt  

[2026-04-06 15:59:57:826] 脚本错误, 加载失败: \自动回收\\执行回收.txt  

[2026-04-06 16:02:05:930] 脚本错误, 加载失败: \自动回收\\执行回收.txt  

[2026-04-06 16:03:53:898] 脚本错误, 加载失败: \自动回收\\执行回收.txt  

[2026-04-06 16:05:55:866] 脚本错误, 加载失败: 自动回收/执行回收.txt  

[2026-04-06 16:09:29:941] 脚本错误, 加载失败: 执行回收.txt  

[2026-04-06 16:11:11:954] 脚本错误, 加载失败: 执行回收.txt  

[2026-04-06 16:13:05:944] 脚本错误, 加载失败: 执行回收.txt  

[2026-04-06 16:16:39:924] 脚本错误, 加载失败: 测试回收.txt  

[2026-04-06 16:18:41:914] 脚本错误, 加载失败: 娴嬭瘯鍥炴敹.txt  

[2026-04-06 16:20:13:899] 脚本错误, 加载失败: 测试回收.txt  

[2026-04-06 16:21:57:916] 脚本错误, 加载失败: 测试回收.txt  

[2026-04-06 16:23:47:975] 脚本错误, 加载失败: 测试回收.txt  

[2026-04-06 16:25:13:935] 脚本错误, 加载失败: 测试回收.txt  

[2026-04-06 16:26:33:928] 脚本错误, 加载失败: 测试回收.txt  

[2026-04-06 16:28:11:934] 脚本错误, 加载失败: 测试回收.txt  

[2026-04-06 16:29:43:938] 脚本错误, 加载失败: 测试回收.txt  

[2026-04-06 16:31:22:834] 脚本错误, 加载失败: 测试回收.txt  

[2026-04-06 16:32:48:835] 脚本错误, 加载失败: 测试回收.txt  

[2026-04-06 16:35:30:837] 脚本错误, 加载失败: 自动回收\执行回收.txt  

[2026-04-06 16:37:38:891] 脚本错误, 加载失败: 自动回收\执行回收.txt  

[2026-04-06 16:42:08:890] 脚本错误, 加载失败: 自动回收\执行回收.txt  

[2026-04-06 16:44:35:925] 脚本错误, 加载失败: 自动回收\执行回收.txt  

[2026-04-06 16:47:57:838] 脚本错误, 加载失败: 鑷姩鍥炴敹\鎵ц鍥炴敹.txt  

[2026-04-06 16:55:37:835] 脚本错误, 加载失败: 自动回收\执行回收.txt  

[2026-04-06 16:58:13:856] 脚本错误, 加载失败: 自动回收\执行回收.txt  

[2026-04-06 18:46:45:207] 脚本错误, 加载失败: 自动回收\执行回收.txt  @main
[2026-04-06 18:46:45:207] 脚本错误, 加载失败: 自动回收\执行回收.txt  @main

[2026-04-06 18:46:59:144] 脚本错误, 加载失败: 自动回收\执行回收.txt  @main
[2026-04-06 18:46:59:144] 脚本错误, 加载失败: 自动回收\执行回收.txt  @main

[2026-04-06 18:51:09:133] 脚本错误, 加载失败: 自动回收\执行回收.txt  @main
[2026-04-06 18:51:09:133] 脚本错误, 加载失败: 自动回收\执行回收.txt  @main

[2026-04-06 18:52:23:119] 脚本错误, 加载失败: 自动回收\执行回收.txt  @main
[2026-04-06 18:52:23:119] 脚本错误, 加载失败: 自动回收\执行回收.txt  @main

